scenario_short_code,tier_short_code,location_type,location_id,location_name,tier_level,tier_value,display_order
s0021,CWS_DEL,demand_unit,24_NU2,,1,,15
s0021,CWS_DEL,demand_unit,24_NU3,,1,,16
s0021,CWS_DEL,demand_unit,25_PU,,1,,17
s0021,CWS_DEL,demand_unit,26N_NU1,,1,,18
s0021,CWS_DEL,demand_unit,26N_NU2,,1,,19
s0021,CWS_DEL,demand_unit,26N_NU3,,1,,20
s0021,CWS_DEL,demand_unit,26N_NU4,,1,,21
s0021,CWS_DEL,demand_unit,26N_PU1,,1,,22
s0021,CWS_DEL,demand_unit,26N_PU2,,1,,23
s0021,CWS_DEL,demand_unit,26N_PU3,,1,,24
s0021,CWS_DEL,demand_unit,26S_NU1,,1,,25
s0021,CWS_DEL,demand_unit,26S_NU2,,1,,26
s0021,CWS_DEL,demand_unit,26S_NU3,,1,,27
s0021,CWS_DEL,demand_unit,26S_NU4,,1,,28
s0021,CWS_DEL,demand_unit,26S_PU1,,1,,29
s0021,CWS_DEL,demand_unit,26S_PU2,,1,,30
s0021,CWS_DEL,demand_unit,26S_PU3,,1,,31
s0021,CWS_DEL,demand_unit,26S_PU4,,1,,32
s0021,CWS_DEL,demand_unit,26S_PU5,,1,,33
s0021,CWS_DEL,demand_unit,26S_PU6,,1,,34
s0021,CWS_DEL,demand_unit,50_PU,,1,,35
s0021,CWS_DEL,demand_unit,60N_NU1,,1,,36
s0021,CWS_DEL,demand_unit,60N_NU2,,1,,37
s0021,CWS_DEL,demand_unit,60N_PU,,1,,38
s0021,CWS_DEL,demand_unit,60S_NU1,,4,,39
s0021,CWS_DEL,demand_unit,61_NU1,,1,,40
s0021,CWS_DEL,demand_unit,61_NU2,,1,,41
s0021,CWS_DEL,demand_unit,71_PU1,,4,,42
s0021,CWS_DEL,demand_unit,71_PU2,,4,,43
s0021,CWS_DEL,demand_unit,90_PU,,1,,44
s0021,CWS_DEL,demand_unit,ELDID_NU1,,1,,45
s0021,CWS_DEL,demand_unit,ELDID_NU2,,1,,46
s0021,CWS_DEL,demand_unit,ELDID_NU3,,1,,47
s0021,CWS_DEL,demand_unit,GDPUD_NU,,1,,48
s0021,CWS_DEL,demand_unit,PCWA3,,1,,49
s0021,CWS_DEL,demand_unit,AMADR_NU,,1,,50
s0021,CWS_DEL,demand_unit,AMCYN,,4,,51
s0021,CWS_DEL,demand_unit,ANTOC,,1,,52
s0021,CWS_DEL,demand_unit,FRFLD,,2,,53
s0021,CWS_DEL,demand_unit,GRSVL,,4,,54
s0021,CWS_DEL,demand_unit,WSPNT_NU,,4,,55
s0021,CWS_DEL,demand_unit,02_NU,,1,,56
s0021,CWS_DEL,demand_unit,03_NU,,1,,57
s0021,CWS_DEL,demand_unit,04_NU1,,1,,58
s0021,CWS_DEL,demand_unit,04_NU2,,1,,59
s0021,CWS_DEL,demand_unit,05_NU,,1,,60
s0021,CWS_DEL,demand_unit,06_NU,,1,,61
s0021,CWS_DEL,demand_unit,07N_NU,,1,,62
s0021,CWS_DEL,demand_unit,07S_NU,,1,,63
s0021,CWS_DEL,demand_unit,08N_NU,,1,,64
s0021,CWS_DEL,demand_unit,08S_NU,,1,,65
s0021,CWS_DEL,demand_unit,09_NU,,1,,66
s0021,CWS_DEL,demand_unit,10_NU1,,1,,67
s0021,CWS_DEL,demand_unit,10_NU2,,1,,68
s0021,CWS_DEL,demand_unit,11_NU2,,1,,69
s0021,CWS_DEL,demand_unit,12_NU2,,1,,70
s0021,CWS_DEL,demand_unit,14_NU,,1,,71
s0021,CWS_DEL,demand_unit,15S_NU,,1,,72
s0021,CWS_DEL,demand_unit,16_NU,,1,,73
s0021,CWS_DEL,demand_unit,17N_NU,,1,,74
s0021,CWS_DEL,demand_unit,17S_NU,,1,,75
s0021,CWS_DEL,demand_unit,18_NU,,1,,76
s0021,CWS_DEL,demand_unit,19_NU,,1,,77
s0021,CWS_DEL,demand_unit,20_NU2,,1,,78
s0021,CWS_DEL,demand_unit,22_NU,,1,,79
s0021,CWS_DEL,demand_unit,23_NU,,1,,80
s0021,CWS_DEL,demand_unit,24_NU4,,1,,81
s0021,CWS_DEL,demand_unit,25_NU,,1,,82
s0021,CWS_DEL,demand_unit,26N_NU5,,1,,83
s0021,CWS_DEL,demand_unit,61_NU3,,1,,84
s0021,CWS_DEL,demand_unit,62_NU,,1,,85
s0021,CWS_DEL,demand_unit,63_NU,,1,,86
