scenario,02_NA,02_PA,02_SA,03_NA,03_PA,03_SA,04_NA,04_PA1,04_PA2,05_NA,06_NA,06_PA,07N_NA,07N_PA,07S_NA,07S_PA,08N_NA,08N_PA,08N_SA1,08N_SA2,08S_NA1,08S_NA2,08S_PA,08S_SA1,08S_SA2,08S_SA3,09_NA,09_SA1,09_SA2,10_NA,11_NA,11_SA1,11_SA2,11_SA3,11_SA4,12_NA,12_SA,13_NA,14_NA,15N_NA1,15N_NA2,15N_SA,15S_NA1,15S_NA2,15S_SA,16_NA1,16_NA2,16_PA,16_SA,17N_NA,17S_NA,17S_SA,18_NA,18_SA,19_SA,20_NA1,20_NA2,20_PA,21_NA,21_PA,21_SA,22_NA,22_SA1,22_SA2,23_NA,24_NA1,24_NA2,24_NA3,25_NA,25_PA1,25_PA2,26N_NA,26S_NA,50_PA1,50_PA2,60N_NA1,60N_NA2,60N_NA3,60N_NA4,60N_NA5,60S_NA1,60S_NA2,60S_PA1,60S_PA2,61_NA1,61_NA2,61_NA3,61_NA4,61_NA5,61_NA6,61_PA1,61_PA2,61_PA3,62_NA1,62_NA2,62_NA3,62_NA4,62_NA5,62_NA6,63_NA1,63_NA2,63_NA3,63_NA4,64_NA1,64_NA2,64_PA1,64_PA2,64_PA3,64_XA,71_NA1,71_NA2,71_PA1,71_PA2,71_PA3,71_PA4,71_PA5,71_PA6,71_PA7,71_PA8,72_NA1,72_NA2,72_PA,72_XA1,72_XA2,72_XA3,73_NA,73_PA1,73_PA2,73_PA3,73_XA,90_PA1,90_PA2
s0092,2,4,3,1,4,2,2,4,4,2,1,3,1,4,1,4,1,3,3,3,1,1,3,2,3,3,1,4,2,4,2,2,2,2,2,1,2,1,1,1,1,1,1,2,3,1,3,4,2,1,1,1,2,3,3,3,1,2,1,4,3,1,2,1,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,4,3,4,2,2,4,4,4,1,4,4,3,1,4,1,4,4,2,1,2,3,3,3,4,3,1,4,2,4,1,4,4,1,4,1,1,3,3,3,2,1,4,2,4,4,4,3
s0093,2,4,2,2,4,2,2,4,4,4,1,4,1,4,1,4,1,2,2,3,1,1,2,2,3,2,2,3,2,4,2,2,3,3,2,3,4,1,1,1,1,2,1,2,4,1,3,4,3,1,1,1,2,3,2,3,1,2,1,4,4,1,3,2,4,4,4,2,3,2,1,1,1,3,1,2,1,2,4,2,1,1,2,3,1,4,4,4,2,2,4,4,4,1,4,4,4,1,4,1,4,4,3,1,3,4,4,4,3,2,1,4,1,4,1,4,4,1,4,1,1,3,3,3,2,1,4,2,4,3,4,4
s0094,2,4,3,1,3,2,2,4,4,4,1,3,1,4,1,4,1,2,3,3,1,1,3,2,3,3,1,4,2,4,2,2,2,2,2,3,4,1,1,1,1,2,1,2,4,1,3,4,3,1,1,1,2,3,3,3,1,2,1,4,4,1,3,2,4,4,4,2,3,2,2,1,1,4,1,2,1,2,3,1,1,1,2,3,1,4,2,4,2,2,4,4,4,1,4,4,2,1,4,1,4,4,3,1,3,4,4,3,4,3,1,4,2,4,1,4,4,1,4,1,1,3,3,3,2,1,4,2,4,4,4,4
s0095,2,4,1,2,3,1,2,4,4,2,1,3,1,4,1,4,1,2,2,2,1,1,3,2,2,2,2,3,2,4,2,2,2,2,2,1,2,1,2,1,4,2,1,3,3,1,3,4,2,1,2,1,2,3,2,3,1,2,1,3,2,1,1,1,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,3,1,2,1,1,3,2,3,1,2,2,1,1,4,1,2,3,2,1,2,3,3,3,2,2,1,4,1,4,1,4,4,1,4,1,1,3,2,2,2,1,4,2,4,2,4,3
s0096,2,4,1,2,3,1,2,4,4,2,1,3,1,4,1,4,1,2,2,2,1,1,3,2,2,2,2,3,2,4,2,2,2,2,2,1,2,1,2,1,4,2,1,3,3,1,3,4,2,1,2,1,2,3,2,3,1,2,1,3,2,1,1,2,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,3,1,2,1,1,3,2,3,1,2,2,1,1,4,1,2,3,2,1,2,3,3,3,2,2,1,4,1,4,1,4,4,1,4,1,1,3,2,2,2,1,4,2,4,2,4,3
s0097,2,4,1,2,3,1,2,4,4,2,1,3,1,4,1,4,1,2,2,2,1,1,3,2,2,2,2,3,2,3,2,2,2,2,2,1,2,1,2,1,4,2,1,3,3,1,3,4,2,1,2,1,2,3,2,3,1,2,1,3,2,1,1,1,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,3,1,2,1,1,3,2,3,1,2,2,1,1,4,1,2,3,2,1,2,3,3,3,2,2,1,4,1,4,1,4,4,1,4,1,1,3,2,2,2,1,4,2,4,2,4,3
s0098,2,4,3,1,3,2,2,4,4,2,1,3,1,4,1,4,1,3,3,3,1,1,3,2,3,2,1,4,2,4,2,3,3,4,3,1,2,1,1,1,2,1,1,2,3,1,3,4,2,1,1,1,2,3,2,3,1,2,1,4,3,1,2,1,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,2,1,1,1,1,3,2,2,1,2,2,1,1,4,1,2,3,2,1,2,3,3,3,3,2,1,4,1,4,1,4,4,1,4,1,1,4,2,2,2,1,4,2,4,2,4,3
s0099,2,4,3,1,3,2,2,4,4,2,1,3,1,4,1,3,1,3,3,3,1,1,3,2,3,2,1,4,2,4,2,2,3,3,3,1,1,1,1,1,2,1,1,2,3,1,3,4,2,1,1,1,2,3,2,3,1,2,1,4,3,1,2,1,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,2,1,1,1,1,3,2,2,1,2,2,1,1,4,1,2,3,2,1,2,3,3,3,3,2,1,4,1,4,1,4,4,1,4,1,1,3,2,2,2,1,4,2,4,2,4,3
s0100,2,4,3,1,3,2,2,4,4,2,1,3,1,4,1,4,1,3,3,2,1,1,3,2,3,2,1,4,2,4,2,2,3,4,3,1,1,1,1,1,2,1,1,2,3,1,3,4,2,1,1,1,2,3,2,3,1,2,1,4,3,1,2,1,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,2,1,1,1,1,3,2,2,1,2,2,1,1,4,1,2,3,2,1,2,3,3,3,3,2,1,4,1,4,1,4,4,1,4,1,1,3,2,2,2,1,4,2,4,2,4,3
s0101,2,4,3,1,3,2,2,4,4,2,1,3,1,4,1,4,1,3,3,3,1,1,3,2,3,2,1,4,2,4,2,2,3,4,3,1,2,1,1,1,2,1,1,2,3,1,3,4,2,1,1,1,2,3,2,3,1,2,1,4,3,1,2,1,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,2,1,1,1,1,3,2,2,1,2,2,1,1,4,1,2,3,2,1,2,3,3,3,3,2,1,4,1,4,1,4,4,1,4,1,1,4,2,2,2,1,4,2,4,2,4,3
s0102,2,4,2,1,3,2,2,4,4,2,1,3,1,4,1,4,1,2,2,2,1,1,3,2,2,2,1,4,2,3,2,2,2,2,2,1,2,1,2,1,4,2,1,3,3,1,3,4,2,1,1,1,2,3,2,3,1,2,1,3,3,1,2,1,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,3,1,2,1,1,3,2,3,1,2,2,1,1,4,1,2,3,2,1,2,3,3,3,2,2,1,4,1,4,1,4,4,1,4,1,1,3,2,2,2,1,4,2,4,2,4,3
s0103,2,4,1,2,3,1,2,4,4,2,1,3,1,4,1,4,1,2,2,2,1,1,3,2,2,2,2,3,2,3,2,2,2,2,2,1,2,1,2,1,4,2,1,3,3,1,3,4,2,1,2,1,2,3,2,3,1,2,1,3,2,1,1,2,2,2,2,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,3,1,2,1,1,3,2,3,1,1,2,1,1,4,1,2,3,2,1,2,3,3,3,2,2,1,4,1,4,1,4,4,1,4,1,1,3,2,2,2,1,4,2,4,2,4,3
s0104,2,4,2,2,4,2,2,4,4,2,1,4,1,4,1,4,1,2,2,3,1,1,3,2,2,2,2,3,2,4,2,2,3,2,2,1,2,1,1,1,1,2,1,2,3,1,3,4,2,1,1,1,2,3,2,3,1,2,1,3,2,1,1,1,2,2,2,1,2,2,2,1,1,3,1,2,1,2,3,2,1,1,2,3,1,4,4,4,2,1,4,4,4,1,3,3,4,1,4,1,2,4,2,1,2,3,4,4,3,2,1,4,1,4,1,4,4,1,4,1,1,3,3,3,2,1,4,2,4,3,4,3
s0105,2,4,2,2,3,2,2,4,4,2,1,3,1,4,1,4,1,2,3,2,1,1,3,2,2,2,2,3,2,4,2,2,2,2,2,1,2,1,2,1,2,2,1,2,3,1,3,4,2,1,2,2,2,3,2,3,1,2,1,3,3,1,2,2,2,2,1,1,2,2,2,1,1,3,1,2,1,2,2,1,1,1,2,3,1,3,1,2,1,1,3,2,3,1,2,2,1,1,4,1,2,3,2,1,2,3,3,3,2,2,1,4,1,4,1,4,4,1,4,1,1,3,2,2,2,1,4,2,4,2,4,3
