id,short_code,name,subtitle,short_title,simple_description,description,is_active,narrative,projection_year,source_id,notes,hydroclimate_version_id,created_by,updated_by,created_at,updated_at
1,dwr_hist,DWR historical,,,100-year historical record,,1,,,1,,,,,2024-01-01 00:00:00,2024-01-01 00:00:00
2,dwr_hist_adj,DWR historically-adjusted,,,100-year historical record with current climate trends,,1,,,1,"Point-located observation-based time series records of temperature (monthly), precipitation (daily), and streamflow (monthly) at select locations specific to CalSim3 modeling.",1.0,1.0,,2024-01-01 00:00:00,2024-01-01 00:00:00
3,cc50,Warmer and Drier I,,,1.5°C temperature increase and 3% precipitation decrease over CV inflow basins,,1,,2043.0,1,HF statistics are used to adjust No.1 records using a quantile-mapping approach.,1.0,1.0,,2024-01-01 00:00:00,2024-01-01 00:00:00
4,cc95,Warmer and Drier II,,,1.8°C temperature increase and 9% precipitation decrease over CV inflow basins,,1,,2043.0,1,HF statistics are used to adjust No.1 records using a quantile-mapping approach.,1.0,1.0,,2024-01-01 00:00:00,2024-01-01 00:00:00
5,CMIP6_TaiESM1_SSP370,Warmer and Drier III,,,1.9°C temperature increase and 7% precipitation decrease over CV inflow basins,,1,,2043.0,1,HF statistics are used to adjust No.1 records using a quantile-mapping approach.,1.0,1.0,,2024-01-01 00:00:00,2024-01-01 00:00:00
6,CMIP6_CESM2-LENS_SSP370,Warmer and Drier IV,,,1.4°C temperature increase and 12% precipitation decrease over CV inflow basins,,1,,2043.0,1,HF statistics are used to adjust No.1 records using a quantile-mapping approach.,1.0,1.0,,2024-01-01 00:00:00,2024-01-01 00:00:00
